summary,start,end,location
🏒 Toronto Maple Leafs @ Seattle Kraken,2026-01-30 03:00:00,2026-01-30 05:00:00,Climate Pledge Arena
🏒 Seattle Kraken @ Vegas Golden Knights,2026-02-01 03:00:00,2026-02-01 05:00:00,T-Mobile Arena
🏒 Seattle Kraken @ Anaheim Ducks,2026-02-04 03:00:00,2026-02-04 05:00:00,Honda Center
🏒 Seattle Kraken @ Los Angeles Kings,2026-02-05 03:00:00,2026-02-05 05:00:00,Crypto.com Arena
🏒 Seattle Kraken @ Dallas Stars,2026-02-26 01:00:00,2026-02-26 03:00:00,American Airlines Center
🏒 Seattle Kraken @ St. Louis Blues,2026-02-27 01:00:00,2026-02-27 03:00:00,Enterprise Center
🏒 Vancouver Canucks @ Seattle Kraken,2026-03-01 03:00:00,2026-03-01 05:00:00,Climate Pledge Arena
🏒 Carolina Hurricanes @ Seattle Kraken,2026-03-03 03:00:00,2026-03-03 05:00:00,Climate Pledge Arena
🏒 St. Louis Blues @ Seattle Kraken,2026-03-05 03:00:00,2026-03-05 05:00:00,Climate Pledge Arena
🏒 Ottawa Senators @ Seattle Kraken,2026-03-08 03:00:00,2026-03-08 05:00:00,Climate Pledge Arena
🏒 Nashville Predators @ Seattle Kraken,2026-03-11 02:00:00,2026-03-11 04:00:00,Climate Pledge Arena
🏒 Colorado Avalanche @ Seattle Kraken,2026-03-13 02:00:00,2026-03-13 04:00:00,Climate Pledge Arena
🏒 Seattle Kraken @ Vancouver Canucks,2026-03-15 02:00:00,2026-03-15 04:00:00,Rogers Arena
🏒 Florida Panthers @ Seattle Kraken,2026-03-16 00:00:00,2026-03-16 02:00:00,Climate Pledge Arena
🏒 Tampa Bay Lightning @ Seattle Kraken,2026-03-18 02:00:00,2026-03-18 04:00:00,Climate Pledge Arena
🏒 Seattle Kraken @ Nashville Predators,2026-03-20 00:00:00,2026-03-20 02:00:00,Bridgestone Arena
🏒 Seattle Kraken @ Columbus Blue Jackets,2026-03-21 21:00:00,2026-03-21 23:00:00,Nationwide Arena
🏒 Seattle Kraken @ Florida Panthers,2026-03-24 23:00:00,2026-03-25 01:00:00,Amerant Bank Arena
🏒 Seattle Kraken @ Tampa Bay Lightning,2026-03-26 23:00:00,2026-03-27 01:00:00,Benchmark International Arena
🏒 Seattle Kraken @ Buffalo Sabres,2026-03-28 21:30:00,2026-03-28 23:30:00,KeyBank Center
🏒 Seattle Kraken @ Edmonton Oilers,2026-04-01 01:00:00,2026-04-01 03:00:00,Rogers Place
🏒 Utah Mammoth @ Seattle Kraken,2026-04-03 02:00:00,2026-04-03 04:00:00,Climate Pledge Arena
🏒 Chicago Blackhawks @ Seattle Kraken,2026-04-05 02:00:00,2026-04-05 04:00:00,Climate Pledge Arena
🏒 Seattle Kraken @ Winnipeg Jets,2026-04-06 23:30:00,2026-04-07 01:30:00,Canada Life Centre
🏒 Seattle Kraken @ Minnesota Wild,2026-04-08 00:00:00,2026-04-08 02:00:00,Grand Casino Arena
🏒 Vegas Golden Knights @ Seattle Kraken,2026-04-10 02:00:00,2026-04-10 04:00:00,Climate Pledge Arena
🏒 Calgary Flames @ Seattle Kraken,2026-04-11 23:00:00,2026-04-12 01:00:00,Climate Pledge Arena
🏒 Los Angeles Kings @ Seattle Kraken,2026-04-14 01:30:00,2026-04-14 03:30:00,Climate Pledge Arena
🏒 Seattle Kraken @ Vegas Golden Knights,2026-04-16 02:00:00,2026-04-16 04:00:00,T-Mobile Arena
🏒 Seattle Kraken @ Colorado Avalanche,2026-04-17 02:30:00,2026-04-17 04:30:00,Ball Arena
